day,hijri,fajr,sunrise,dhuhr,asr,maghrib,ishaa
1,26/1/1446,4:02 am,5:48 am,12:44 pm,4:28 pm,7:44 pm,9:13 pm
2,27/1/1446,4:03 am,5:49 am,12:44 pm,4:28 pm,7:44 pm,9:11 pm
3,28/1/1446,4:04 am,5:50 am,12:44 pm,4:28 pm,7:43 pm,9:10 pm
4,29/1/1446,4:05 am,5:51 am,12:44 pm,4:27 pm,7:42 pm,9:09 pm
5,1/2/1446,4:06 am,5:51 am,12:44 pm,4:27 pm,7:41 pm,9:08 pm
6,2/2/1446,4:07 am,5:52 am,12:44 pm,4:27 pm,7:40 pm,9:07 pm
7,3/2/1446,4:09 am,5:53 am,12:43 pm,4:27 pm,7:39 pm,9:05 pm
8,4/2/1446,4:10 am,5:53 am,12:43 pm,4:26 pm,7:38 pm,9:04 pm
9,5/2/1446,4:11 am,5:54 am,12:43 pm,4:26 pm,7:37 pm,9:03 pm
10,6/2/1446,4:12 am,5:55 am,12:43 pm,4:26 pm,7:36 pm,9:02 pm
11,7/2/1446,4:13 am,5:56 am,12:43 pm,4:26 pm,7:35 pm,9:00 pm
12,8/2/1446,4:14 am,5:56 am,12:43 pm,4:25 pm,7:34 pm,8:59 pm
13,9/2/1446,4:15 am,5:57 am,12:43 pm,4:25 pm,7:33 pm,8:58 pm
14,10/2/1446,4:16 am,5:58 am,12:42 pm,4:25 pm,7:32 pm,8:56 pm
15,11/2/1446,4:17 am,5:59 am,12:42 pm,4:24 pm,7:31 pm,8:55 pm
16,12/2/1446,4:18 am,5:59 am,12:42 pm,4:24 pm,7:30 pm,8:53 pm
17,13/2/1446,4:19 am,6:00 am,12:42 pm,4:23 pm,7:29 pm,8:52 pm
18,14/2/1446,4:20 am,6:01 am,12:42 pm,4:23 pm,7:27 pm,8:51 pm
19,15/2/1446,4:21 am,6:01 am,12:41 pm,4:23 pm,7:26 pm,8:49 pm
20,16/2/1446,4:23 am,6:02 am,12:41 pm,4:22 pm,7:25 pm,8:48 pm
21,17/2/1446,4:24 am,6:03 am,12:41 pm,4:22 pm,7:24 pm,8:46 pm
22,18/2/1446,4:25 am,6:04 am,12:41 pm,4:21 pm,7:23 pm,8:45 pm
23,19/2/1446,4:26 am,6:04 am,12:40 pm,4:21 pm,7:22 pm,8:43 pm
24,20/2/1446,4:27 am,6:05 am,12:40 pm,4:20 pm,7:20 pm,8:42 pm
25,21/2/1446,4:28 am,6:06 am,12:40 pm,4:20 pm,7:19 pm,8:40 pm
26,22/2/1446,4:29 am,6:06 am,12:40 pm,4:19 pm,7:18 pm,8:39 pm
27,23/2/1446,4:30 am,6:07 am,12:39 pm,4:18 pm,7:17 pm,8:37 pm
28,24/2/1446,4:31 am,6:08 am,12:39 pm,4:18 pm,7:15 pm,8:36 pm
29,25/2/1446,4:32 am,6:09 am,12:39 pm,4:17 pm,7:14 pm,8:34 pm
30,26/2/1446,4:33 am,6:09 am,12:39 pm,4:17 pm,7:13 pm,8:33 pm
31,27/2/1446,4:34 am,6:10 am,12:38 pm,4:16 pm,7:12 pm,8:31 pm
