day,hijri,fajer,sunrise,dhuhr,asr,maghrib,ishaa
1,20/7/1445,5:02 am,6:35 am,11:51 am,2:46 pm,5:12 pm,6:31 pm
2,21/7/1445,5:02 am,6:35 am,11:51 am,2:47 pm,5:13 pm,6:32 pm
3,22/7/1445,5:01 am,6:34 am,11:52 am,2:48 pm,5:14 pm,6:33 pm
4,23/7/1445,5:00 am,6:33 am,11:52 am,2:48 pm,5:15 pm,6:34 pm
5,24/7/1445,5:00 am,6:32 am,11:52 am,2:49 pm,5:16 pm,6:34 pm
6,25/7/1445,4:59 am,6:32 am,11:52 am,2:50 pm,5:17 pm,6:35 pm
7,26/7/1445,4:58 am,6:31 am,11:52 am,2:51 pm,5:18 pm,6:36 pm
8,27/7/1445,4:58 am,6:31 am,11:52 am,2:51 pm,5:19 pm,6:37 pm
9,28/7/1445,4:57 am,6:29 am,11:52 am,2:52 pm,5:20 pm,6:38 pm
10,29/7/1445,4:56 am,6:28 am,11:52 am,2:53 pm,5:21 pm,6:39 pm
11,1/7/1445,4:55 am,6:27 am,11:52 am,2:54 pm,5:22 pm,6:39 pm
12,2/8/1445,4:55 am,6:26 am,11:52 am,2:54 pm,5:23 pm,6:40 pm
13,3/8/1445,4:54 am,6:25 am,11:52 am,2:55 pm,5:24 pm,6:41 pm
14,4/8/1445,4:53 am,6:24 am,11:52 am,2:56 pm,5:25 pm,6:42 pm
15,5/8/1445,4:52 am,6:23 am,11:52 am,2:56 pm,5:26 pm,6:43 pm
16,6/8/1445,4:51 am,6:22 am,11:52 am,2:57 pm,5:27 pm,6:44 pm
17,7/8/1445,4:50 am,6:21 am,11:52 am,2:58 pm,5:27 pm,6:45 pm
18,8/8/1445,4:49 am,6:20 am,11:52 am,2:58 pm,5:28 pm,6:45 pm
19,9/8/1445,4:48 am,6:19 am,11:52 am,2:59 pm,5:29 pm,6:46 pm
20,10/8/1445,4:47 am,6:18 am,11:52 am,3:00 pm,5:30 pm,6:47 pm
21,11/8/1445,4:46 am,6:17 am,11:52 am,3:00 pm,5:31 pm,6:48 pm
22,12/8/1445,4:45 am,6:16 am,11:51 am,3:01 pm,5:32 pm,6:48 pm
23,13/8/1445,4:44 am,6:15 am,11:51 am,3:01 pm,5:33 pm,6:49 pm
24,14/8/1445,4:43 am,6:14 am,11:51 am,3:02 pm,5:34 pm,6:50 pm
25,15/8/1445,4:42 am,6:13 am,11:51 am,3:03 pm,5:34 pm,6:51 pm
26,16/8/1445,4:41 am,6:11 am,11:51 am,3:03 pm,5:36 pm,6:52 pm
27,17/8/1445,4:40 am,6:10 am,11:51 am,3:04 pm,5:37 pm,6:53 pm
28,18/8/1445,4:39 am,6:09 am,11:51 am,3:04 pm,5:37 pm,6:53 pm
29,19/8/1445,4:38 am,6:08 am,11:51 am,3:04 pm,5:38 pm,6:54 pm
